巴豆	玄参	1
巴豆	芫花	1
巴豆	枳实	1
巴豆	猪牙皂	1
巴豆霜	白附子	1
巴豆霜	白芷	2
巴豆霜	薄荷	3
巴豆霜	槟榔	6
巴豆霜	冰片	6
巴豆霜	苍术	1
巴豆霜	柴胡	2
巴豆霜	常山	1
巴豆霜	沉香	4
巴豆霜	陈皮	6
巴豆霜	川贝母	1
巴豆霜	川芎	2
巴豆霜	大黄	7
巴豆霜	大枣	1
巴豆霜	丹参	1
巴豆霜	当归	4
巴豆霜	丁香	5
巴豆霜	豆蔻	2
巴豆霜	独活	1
巴豆霜	防风	3
巴豆霜	甘遂	2
巴豆霜	干姜	2
巴豆霜	高良姜	2
巴豆霜	钩藤	4
巴豆霜	广藿香	1
巴豆霜	红花	2
巴豆霜	厚朴	6
巴豆霜	胡椒	1
巴豆霜	黄柏	2
巴豆霜	黄连	1
巴豆霜	黄芩	4
巴豆霜	降香	1
巴豆霜	金银花	1
巴豆霜	荆芥	1
巴豆霜	苦杏仁	6
巴豆霜	麻黄	3
巴豆霜	木瓜	1
巴豆霜	木香	7
巴豆霜	牵牛子	1
巴豆霜	茜草	1
巴豆霜	羌活	2
巴豆霜	青皮	2
巴豆霜	拳参	1
巴豆霜	人参	2
巴豆霜	肉豆蔻	1
巴豆霜	肉桂	6
巴豆霜	桑白皮	1
巴豆霜	砂仁	1
巴豆霜	山慈菇	1
巴豆霜	山豆根	1
巴豆霜	山楂	6
巴豆霜	升麻	1
巴豆霜	石菖蒲	1
巴豆霜	苏合香	1
巴豆霜	檀香	3
巴豆霜	天花粉	5
巴豆霜	天南星	4
巴豆霜	天竺黄	9
巴豆霜	葶苈子	1
巴豆霜	细辛	3
巴豆霜	玄参	2
巴豆霜	郁金	3
巴豆霜	芫花	1
巴豆霜	浙贝母	1
巴豆霜	知母	1
巴豆霜	枳壳	6
巴豆霜	枳实	4
巴豆霜	猪牙皂	5
巴豆霜	紫苏叶	2
巴戟天	白茅根	1
巴戟天	白芍	19
巴戟天	白术	32
巴戟天	白薇	1
巴戟天	白鲜皮	1
巴戟天	白芷	1
巴戟天	半夏	1
巴戟天	半枝莲	2
巴戟天	荜茇	1
巴戟天	荜澄茄	1
巴戟天	萹蓄	1
巴戟天	补骨脂	39
巴戟天	苍术	1
巴戟天	柴胡	2
巴戟天	车前子	8
巴戟天	沉香	11
巴戟天	陈皮	12
巴戟天	赤芍	5
巴戟天	川楝子	3
巴戟天	川乌	1
巴戟天	川芎	14
巴戟天	穿山龙	1
巴戟天	刺五加	1
巴戟天	大黄	1
巴戟天	大枣	6
巴戟天	丹参	9
巴戟天	当归	56
巴戟天	地骨皮	6
巴戟天	地黄	16
巴戟天	丁公藤	1
巴戟天	丁香	5
巴戟天	豆蔻	1
巴戟天	独活	2
巴戟天	杜仲	65
巴戟天	防风	3
巴戟天	附子	14
